iter	Passed	Remaining
0	1	66
1	2	52
2	4	64
3	5	66
4	7	64
5	9	68
6	10	63
7	10	56
8	12	57
9	14	58
10	16	59
11	18	59
12	20	58
13	22	57
14	24	57
15	26	56
16	28	55
17	29	52
18	30	50
19	32	49
20	34	47
21	35	45
22	37	44
23	44	47
24	46	46
25	50	46
26	60	51
27	61	48
28	62	45
29	66	44
30	69	42
31	70	39
32	71	36
33	111	52
34	126	54
35	136	53
36	137	48
37	139	44
38	156	44
39	166	41
40	181	39
41	186	35
42	187	30
43	194	26
44	196	21
45	198	17
46	200	12
47	202	8
48	204	4
49	208	0
